"","policy_id","province_region","response_level_cln","flag_sub_variation","date_announce_cln","date_start_cln","date_end_cln"
"1","P13","Anhui","Level I",FALSE,2020-01-24,2020-01-24,2020-02-24
"2","P14","Anhui","Level II",FALSE,2020-02-25,2020-02-25,2020-03-14
"3","P15","Anhui","Level III",FALSE,2020-03-15,2020-03-15,2020-07-31
"4","X26","Beijing","Level I",FALSE,2020-01-24,2020-01-24,2020-04-29
"5","X27","Beijing","Level II",FALSE,2020-04-29,2020-04-30,2020-06-05
"6","X28","Beijing","Level III",FALSE,2020-06-05,2020-06-06,2020-06-15
"7","X29","Beijing","Level II",FALSE,2020-06-16,2020-06-16,2020-07-19
"8","X30","Beijing","Level III",FALSE,2020-07-20,2020-07-20,2020-07-31
"9","P16","Chongqing","Level I",FALSE,2020-01-25,2020-01-25,2020-03-10
"10","P17","Chongqing","Level II",FALSE,2020-03-10,2020-03-11,2020-03-24
"11","P18","Chongqing","Level III",FALSE,2020-03-25,2020-03-25,2020-07-31
"12","X34","Fujian","Level I",FALSE,2020-01-24,2020-01-24,2020-02-26
"13","X35","Fujian","Level II",TRUE,2020-02-27,2020-02-27,2020-03-18
"14","X36","Fujian","Level III",FALSE,2020-03-19,2020-03-19,2020-07-31
"15","P37","Gansu","Level I",FALSE,2020-01-25,2020-01-25,2020-02-26
"16","P38","Gansu","Level III",FALSE,2020-02-27,2020-02-27,2020-05-10
"17","P39","Gansu","Level IV",FALSE,2020-05-11,2020-05-11,2020-07-31
"18","P1","Guangdong","Level I",FALSE,2020-01-23,2020-01-23,2020-02-23
"19","P2","Guangdong","Level II",FALSE,2020-02-24,2020-02-24,2020-05-08
"20","P3","Guangdong","Level III",FALSE,2020-05-08,2020-05-09,2020-07-31
"21","P19","Guangxi","Level I",FALSE,2020-01-24,2020-01-24,2020-02-23
"22","P34","Guangxi","Level III",FALSE,2020-02-23,2020-02-24,2020-07-31
"23","X37","Hainan","Level II",FALSE,2020-01-24,2020-01-24,2020-01-24
"24","X38","Hainan","Level I",FALSE,2020-01-25,2020-01-25,2020-02-25
"25","X39","Hainan","Level III",FALSE,2020-02-26,2020-02-26,2020-07-31
"26","X18","Hebei","Level I",FALSE,2020-01-25,2020-01-25,2020-04-29
"27","X19","Hebei","Level II",FALSE,2020-04-29,2020-04-30,2020-06-05
"28","X20","Hebei","Level III",FALSE,2020-06-05,2020-06-06,2020-07-31
"29","X5","Heilongjiang","Level II",FALSE,2020-01-21,2020-01-21,2020-01-24
"30","X6","Heilongjiang","Level I",FALSE,2020-01-25,2020-01-25,2020-03-03
"31","X7","Heilongjiang","Level II",FALSE,2020-03-04,2020-03-04,2020-03-24
"32","X8","Heilongjiang","Level III",FALSE,2020-03-25,2020-03-25,2020-07-31
"33","P7","Henan","Level I",FALSE,2020-01-25,2020-01-25,2020-03-18
"34","P8","Henan","Level II",FALSE,2020-03-18,2020-03-19,2020-05-05
"35","P9","Henan","Level III",FALSE,2020-05-05,2020-05-06,2020-07-31
"36","X1","Hubei","Level II",FALSE,2020-01-21,2020-01-21,2020-01-23
"37","X2","Hubei","Level I",FALSE,2020-01-24,2020-01-24,2020-05-01
"38","X3","Hubei","Level II",FALSE,2020-05-01,2020-05-02,2020-06-12
"39","X4","Hubei","Level III",FALSE,2020-06-12,2020-06-13,2020-07-31
"40","X15","Hunan","Level I",FALSE,2020-01-24,2020-01-24,2020-03-09
"41","X16","Hunan","Level II",FALSE,2020-03-10,2020-03-10,2020-03-30
"42","X17","Hunan","Level III",FALSE,2020-03-31,2020-03-31,2020-07-31
"43","P27","Jiangsu","Level I",FALSE,2020-01-24,2020-01-24,2020-02-24
"44","P28","Jiangsu","Level II",FALSE,2020-02-25,2020-02-25,2020-03-27
"45","P29","Jiangsu","Level III",FALSE,2020-03-28,2020-03-28,2020-07-31
"46","X12","Jiangxi","Level I",FALSE,2020-01-24,2020-01-24,2020-03-11
"47","X13","Jiangxi","Level II",TRUE,2020-03-12,2020-03-12,2020-03-19
"48","X14","Jiangxi","Level III",FALSE,2020-03-20,2020-03-20,2020-07-31
"49","X9","Jilin","Level I",FALSE,2020-01-25,2020-01-25,2020-02-25
"50","X10","Jilin","Level II",FALSE,2020-02-26,2020-02-26,2020-03-19
"51","X11","Jilin","Level III",FALSE,2020-03-20,2020-03-20,2020-07-31
"52","P4","Liaoning","Level II",FALSE,2020-01-24,2020-01-24,2020-01-24
"53","P5","Liaoning","Level I",FALSE,2020-01-25,2020-01-25,2020-02-21
"54","P6","Liaoning","Level III",FALSE,2020-02-22,2020-02-22,2020-07-31
"55","X21","Neimenggu","Level I",FALSE,2020-01-25,2020-01-25,2020-02-24
"56","X22","Neimenggu","Level III",FALSE,2020-02-25,2020-02-25,2020-07-31
"57","X40","Ningxia","Level I",FALSE,2020-01-25,2020-01-25,2020-02-27
"58","X41","Ningxia","Level II",FALSE,2020-02-28,2020-02-28,2020-05-05
"59","X42","Ningxia","Level III",FALSE,2020-05-06,2020-05-06,2020-07-31
"60","X49","Qinghai","Level I",FALSE,2020-01-25,2020-01-25,2020-02-25
"61","X50","Qinghai","Level II",FALSE,2020-02-26,2020-02-26,2020-03-05
