policy_id,province_region,response_level,date_announce,date_start,source type,link,policy_facemask,policy_business,policy_institution,policy_office,policy_school,created_by,verified_by,verification_notes
P1,Guangdong,Level I,1/23/2020,1/23/2020,Government announcement,http://www.gd.gov.cn/gdywdt/gdyw/content/post_2878901.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,
P2,Guangdong,Level II,2/24/2020,2/24/2020,Government announcement,http://www.gd.gov.cn/gdywdt/gdyw/content/post_2906010.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,
P3,Guangdong,Level III,5/8/2020,5/9/2020,Government announcement,http://www.gd.gov.cn/zwgk/zdlyxxgkzl/zhsgjy/yljh/content/post_2990224.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,
X1,Hubei,Level II,1/21/2020,1/21/2020,Government announcement,http://www.gov.cn/xinwen/2020-01/22/content_5471772.htm,L1 - Hygiene,L1 - Hygiene,L1 - Hygiene,L1 - Hygiene,L5 - Closing,Xinyi,Puxi,
X2,Hubei,Level I,1/24/2020,1/24/2020,Government announcement,http://www.gov.cn/xinwen/2020-01/24/content_5471995.htm,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,
X3,Hubei,Level II,5/1/2020,5/2/2020,Government announcement,http://www.gov.cn/xinwen/2020-05/01/content_5508143.htm,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,
X4,Hubei,Level III,6/12/2020,6/13/2020,Government announcement,http://www.gov.cn/xinwen/2020-06/12/content_5519086.htm,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,
X5,Heilongjiang,Level II,1/21/2020,1/21/2020,Government announcement,http://www.hlj.gov.cn/zwfb/system/2020/01/25/010918643.shtml,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,,
X6,Heilongjiang,Level I,1/25/2020,1/25/2020,Government announcement,http://www.hlj.gov.cn/zwfb/system/2020/01/25/010918651.shtml,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,,
X7,Heilongjiang,Level II,3/4/2020,3/4/2020,News source,http://www.xinhuanet.com/2020-03/04/c_1125663348.htm,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,,
X8,Heilongjiang,Level III,3/25/2020,3/25/2020,Government announcement,http://www.hlj.gov.cn/zwfb/system/2020/03/25/010922415.shtml,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,,
X9,Jilin,Level I,1/25/2020,1/25/2020,News source,https://baijiahao.baidu.com/s?id=1656696133070877347&wfr=spider&for=pc,L1 - Hygiene,L1 - Hygiene,L1 - Hygiene,L1 - Hygiene,L1 - Hygiene,Xinyi,,
X10,Jilin,Level II,2/26/2020,2/26/2020,Government announcement,http://www.gov.cn/xinwen/2020-02/26/content_5483665.htm,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,,
X11,Jilin,Level III,3/20/2020,3/20/2020,News source,http://www.jl.xinhuanet.com/2020-03/21/c_1125745396.htm?ivk_sa=1023197a,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,,
X12,Jiangxi,Level I,1/24/2020,1/24/2020,News source,http://jx.people.com.cn/GB/n2/2020/0124/c190260-33743325.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,,
X13,Jiangxi,Level II,3/12/2020,3/12/2020,News source,https://m.gmw.cn/2020-03/12/content_1301041223.htm,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,,
X14,Jiangxi,Level III,3/20/2020,3/20/2020,News source,https://xw.qq.com/cmsid/20200320A0QUBE00,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,,
X15,Hunan,Level I,1/24/2020,1/24/2020,News source,http://www.xinhuanet.com/2020-01/24/c_1125498570.htm,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,,
X16,Hunan,Level II,3/10/2020,3/10/2020,News source,https://new.qq.com/omn/20200311/20200311A05ISX00.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,,
X17,Hunan,Level III,3/31/2020,3/31/2020,Government announcement,http://www.gov.cn/xinwen/2020-04/01/content_5497885.htm,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,,
X18,Hebei,Level I,1/25/2020,1/25/2020,News source,http://www.he.xinhuanet.com/xinwen/2020-01/25/c_1125500932.htm,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,,
X19,Hebei,Level II,4/29/2020,4/30/2020,News source,https://baijiahao.baidu.com/s?id=1665298462698361226&wfr=spider&for=pc,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,,
X20,Hebei,Level III,6/5/2020,6/6/2020,News source,https://www.thepaper.cn/newsDetail_forward_7730315,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,,
X21,Neimenggu,Level I,1/25/2020,1/25/2020,News source,https://baijiahao.baidu.com/s?id=1656710188282245843&wfr=spider&for=pc,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,,
